,0,1,2,3,4,5,6,7,8,9
24,Armando Records,OPERATIONAL,"Avenida Calle 85#14-46, Bogotá, Colombia",ChIJSer9wPSaP44RY5Jc_rwI6jY,4.6700041,-74.0547668,4.1,"['night_club', 'point_of_interest', 'establishment']",577,night+club
25,Fiebre Night Club,OPERATIONAL,"Cra. 16a ##23 50, Bogotá, Colombia",ChIJ0QtJlZ2ZP44RX1zOE2thuUk,4.6130608,-74.07559719999999,4.3,"['night_club', 'point_of_interest', 'establishment']",16,night+club
26,Ambar Club,OPERATIONAL,"Cra. 11a #93-18, Bogotá, Colombia",ChIJe8wz5o2aP44Rrk_7lBPnODw,4.6749424,-74.0481241,4.8,"['night_club', 'point_of_interest', 'establishment']",10,night+club
27,Theatron De Película,CLOSED_TEMPORARILY,"Calle 58 #10-32, Bogotá, Cundinamarca, Colombia",ChIJrWVrRjiaP44RI4GKwG_Gx6I,4.644928999999999,-74.06376399999999,4.4,"['night_club', 'point_of_interest', 'establishment']",1924,night+club
28,El Mozo Club,OPERATIONAL,"Ac. 85 #12-51, Comuna Chapinero, Bogotá, Colombia",ChIJxSZJ1oqaP44RgImEbNQ7Jik,4.6686875,-74.0531153,4.2,"['night_club', 'bar', 'point_of_interest', 'establishment']",425,night+club
29,Bar La Santa Club,OPERATIONAL,"Piso 2 Barrio: Modelia Colombia, Cra. 75 #N° 24C- 08, Zona 5, Bogotá, Colombia",ChIJuUlr_IGbP44RceEbxo_PZws,4.6672226,-74.1184171,4.0,"['night_club', 'point_of_interest', 'establishment']",2019,night+club
30,Gnoveva Bar,OPERATIONAL,"Cll 84 # 14 - 44, Zona Rosa, Bogotá, Bogotá, Colombia",ChIJ2ZOP5_SaP44RBM7owYAI44o,4.66923,-74.05502,3.0,"['night_club', 'point_of_interest', 'establishment']",42,night+club
31,Disco Jaguar,OPERATIONAL,"Cra. 7 #59 -34, Santa Fé, Bogotá, Colombia",ChIJCfVz5TiaP44RPc2on-jab5U,4.644519,-74.0614486,4.4,"['night_club', 'point_of_interest', 'establishment']",1742,night+club
32,La Disco,CLOSED_TEMPORARILY,"Cra. 28 #84-12, Bogotá, Colombia",ChIJ09p5xfSaP44Rc2reWIJSEUY,4.669351100000001,-74.0544993,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
33,Angelos VIP Sede Sindicalista,OPERATIONAL,"a 69c-43, Cl. 25 Sur #69c-1, Bogotá, Colombia",ChIJ9-0-g7CeP44RHI_Oh9degV8,4.6151522,-74.1354814,5.0,"['night_club', 'point_of_interest', 'establishment']",3,night+club
