,0,1,2,3,4,5,6,7,8,9
23,Hospital San Juan De Dios,OPERATIONAL,"Cra. 4N ##17-67, Cali, Valle del Cauca, Colombia",ChIJc9Eg01CpMI4RvfCpUV3jLv8,3.4974995,-76.493304,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
24,Urgencias Imbanaco,OPERATIONAL,"Cra. 38 Bis #5b 2, 125 a 5b #2-1, Cali, Valle del Cauca, Colombia",ChIJC_b78aGmMI4RcAYFsSb1I58,3.4261099,-76.54481150000001,2.9,"['hospital', 'health', 'point_of_interest', 'establishment']",15,hospital
25,Hospital Joaquín Paz Borrero,OPERATIONAL,"Cl. 72a ## 7a-00, Cali, Valle del Cauca, Colombia",ChIJRcKmqsGnMI4R2N61cdhMr7c,3.4651449,-76.4822942,4.1,"['hospital', 'health', 'point_of_interest', 'establishment']",53,hospital
26,Clinica Esimed Cali Norte,OPERATIONAL,"Avenida 3 Norte # 32AN-40, Cali, Valle del Cauca, Colombia",ChIJy_elRzymMI4RORxwRFeashk,3.4695992,-76.52202750000001,2.4,"['hospital', 'health', 'point_of_interest', 'establishment']",27,hospital
27,Clínica De Los Remedios,OPERATIONAL,"Cra. 2 #24-157, Cali, Valle del Cauca, Colombia",ChIJ5QIuP2qmMI4R8W5hMGvbmho,3.4597247,-76.5216099,3.1,"['hospital', 'health', 'point_of_interest', 'establishment']",21,hospital
28,Hospital Mario Correa Rengifo,OPERATIONAL,"Cra 78 ## 2a-00, Cali, Valle del Cauca, Colombia",ChIJtTP-O9qpMI4RGtelIoSq_R0,3.4842049,-76.4942646,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
29,clinica alianza de angeles,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJIbQ5CYymMI4RVNcZ8YTQRms,3.4384531,-76.5305008,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
30,Hospital de Alfonso Lopez,OPERATIONAL,"#72a- a 72a-, Cra. 7a #72a64, Cali, Palmira, Valle del Cauca, Colombia",ChIJNfOwqcGnMI4Rhxswt4Fph4g,3.4654931,-76.4822081,3.0,"['hospital', 'health', 'point_of_interest', 'establishment']",4,hospital
31,Hospital Universitario,OPERATIONAL,"Cl. 52 Nte. ##1 Norte-13, Cali, Valle del Cauca, Colombia",ChIJNQCs7DKnMI4RwQiHc5kGVi0,3.4763285,-76.50447199999999,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
32,Clínica San José,OPERATIONAL,"Cra. 43 #17, Cali, Valle del Cauca, Colombia",ChIJhxFs6aCmMI4R7sK-XEqs_Oc,3.420716,-76.5469449,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
33,Hospital mario correa rengifo,OPERATIONAL,"Cl. 2 Bis Oe., Cali, Valle del Cauca, Colombia",ChIJ3caVESmjMI4Rmod6ZjF00iA,3.3919836,-76.56102229999999,3.7,"['hospital', 'health', 'point_of_interest', 'establishment']",3,hospital
34,Parqueadero Edificio De Colores,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJdaveuN-nMI4RmwcbHj0hYww,3.422753,-76.541795,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
35,Fundación Clínica Infantil Club Noel,OPERATIONAL,"Cl. 5 ##22-76, Cali, Valle del Cauca, Colombia",ChIJr6aCFoamMI4R1iNrDVEZP8s,3.4398282,-76.5379554,4.3,"['hospital', 'health', 'point_of_interest', 'establishment']",112,hospital
36,clinica esimed cali norte,OPERATIONAL,"avenda #, Av. 4 Nte. #23 Norte33, Cali, Valle del Cauca, Colombia",ChIJUz9VPhWmMI4ROnW060RzYWQ,3.4643541,-76.5273309,3.5,"['hospital', 'health', 'point_of_interest', 'establishment']",2,hospital
37,Orthohand Hospital Pediatrico (Madre Laura),OPERATIONAL,"Cl. 5e #42-10, Cali, Valle del Cauca, Colombia",ChIJsW_rXKGmMI4RDUq-S3-W5Os,3.4202288,-76.5436599,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
38,clinica otorrinonaringologia,OPERATIONAL,"Av. 4 Nte. #14a-36, Cali, Valle del Cauca, Colombia",ChIJ3Y2ew76nMI4RzxltpLA9PFw,3.4275599,-76.5419666,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
39,"Hospital Universitario del Valle, sede Norte.",OPERATIONAL,"Avenida 3N #32AN-40, Cali, Valle del Cauca, Colombia",ChIJY0h7SDymMI4R3SivkszIS_k,3.4697307,-76.5219104,3.0,"['hospital', 'health', 'point_of_interest', 'establishment']",50,hospital
40,Discoteca Salsa Night Club,OPERATIONAL,"Av. Roosevelt #24-67, Cali, Valle del Cauca, Colombia",ChIJswdemIWmMI4RRlduics-C54,3.436437,-76.53866699999999,4.3,"['night_club', 'point_of_interest', 'establishment']",64,night+club
41,Escoces Nightclub,OPERATIONAL,"Cra. 1 #1 Oeste-2 a 1 Oeste-110, Cali, Valle del Cauca, Colombia",ChIJSYMjs3umMI4R724iLFtDvKY,3.4511082,-76.5410887,2.7,"['night_club', 'point_of_interest', 'establishment']",9,night+club
42,LOS ANGELES NIGHT CLUB,CLOSED_TEMPORARILY,"Cl. 27 ##44-22, Cali, Valle del Cauca, Colombia",ChIJVdGMwwanMI4ROtJ_BXrlYq4,3.4108026,-76.51826729999999,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
43,DUBAI NIGHT CLUB,OPERATIONAL,"Cra. 8 #94-330, Juanchito Guali, Cali, Valle del Cauca, Colombia",ChIJUb_yQpunMI4RloBSErPR08M,3.4483974,-76.4692402,4.4,"['night_club', 'point_of_interest', 'establishment']",393,night+club
44,La Topa Tolondra,OPERATIONAL,"Cl. 5 ##13-27, Cali, Valle del Cauca, Colombia",ChIJH8stsGKmMI4RugOt1OSJs8o,3.4442853,-76.5365133,4.7,"['night_club', 'point_of_interest', 'establishment']",6223,night+club
45,Caleñas Club VIP MENGA,OPERATIONAL,"Cl. 10 ##3884, Cali, Yumbo, Valle del Cauca, Colombia",ChIJ-2mS1qamMI4RkCrpUDEXZX8,3.4953787,-76.5229031,4.3,"['night_club', 'point_of_interest', 'establishment']",36,night+club
46,Pasarela Night Club,OPERATIONAL,"Cl. 7 ##24a-66, Cali, Valle del Cauca, Colombia",ChIJv0qjX4WmMI4RQq8f_S8Vpc4,3.4354548,-76.53733679999999,4.1,"['night_club', 'bar', 'point_of_interest', 'establishment']",33,night+club
47,FARAON NIGHT CLUB CALI,CLOSED_TEMPORARILY,"Av. 2 Nte., Cali, Valle del Cauca, Colombia",ChIJb-oNI0CmMI4RZms0jqnIW7M,3.4617948,-76.52511899999999,2.3,"['night_club', 'point_of_interest', 'establishment']",3,night+club
48,Dinas Club,OPERATIONAL,"Cra. 50 ## 10-31, Cali, Valle del Cauca, Colombia",ChIJByQxF66mMI4R8EK3p0fYrSE,3.410336,-76.5380953,4.3,"['night_club', 'point_of_interest', 'establishment']",23,night+club
49,NASA NIGHT CLUB,CLOSED_TEMPORARILY,"Cl. 7 ##31-34, Cali, Valle del Cauca, Colombia",ChIJbY6r9ZmmMI4Rx9nW2Q2nr9o,3.4288529,-76.5385068,3.9,"['night_club', 'point_of_interest', 'establishment']",7,night+club
50,Mansión Caleñas Club,OPERATIONAL,"Av. 2d Nte. ##24-113, Cali, Valle del Cauca, Colombia",ChIJOaRhlyanMI4RObvSEhHUGaY,3.4640514,-76.5232096,5.0,"['night_club', 'point_of_interest', 'establishment']",3,night+club
51,Living Club,OPERATIONAL,"Cra. 40 #11-81, Cali, Arroyo Hondo, Yumbo, Valle del Cauca, Colombia",ChIJYXUrtJCoMI4RDwD5zqUpzMY,3.493875,-76.519577,4.5,"['night_club', 'point_of_interest', 'establishment']",3828,night+club
52,Queens,OPERATIONAL,"Antigua Vía a, Cl. 10 ##36-110, Cali, Yumbo, Valle del Cauca, Colombia",ChIJacbPuW2mMI4RSx_XfCbKypI,3.4995284,-76.52133119999999,3.8,"['night_club', 'point_of_interest', 'establishment']",63,night+club
53,Caleñas Club,OPERATIONAL,"Cl. 10 ##46-45, Cali, Valle del Cauca, Colombia",ChIJMcoM_a-mMI4Rm2ttoB82xcQ,3.4135773,-76.5372465,4.1,"['night_club', 'point_of_interest', 'establishment']",47,night+club
54,Londres Disco Club,OPERATIONAL,"Dg. 23 ## 17A - 34, Cali, Valle del Cauca, Colombia",ChIJcVXikDunMI4Rt05BbwNI0nE,3.4326029,-76.5259596,4.6,"['night_club', 'point_of_interest', 'establishment']",19,night+club
55,A Otro Nivel Disco Club,OPERATIONAL,"Av. Roosevelt ##37-29, Cali, Valle del Cauca, Colombia",ChIJAdJOZ_ynMI4ROg2GWRY25SA,3.4245217,-76.54055079999999,5.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
56,Son Caribe Club Discoteca,OPERATIONAL,"Cra. 23b #7-80, Cali, Valle del Cauca, Colombia",ChIJgY1Udo-mMI4RwsS2SZNa8jM,3.4364794,-76.5363507,4.5,"['night_club', 'point_of_interest', 'establishment']",303,night+club
57,Caras Lindas,CLOSED_TEMPORARILY,"Sanˈtjaɰo Ð̞e ˈkali, Cali, Valle del Cauca, Colombia",ChIJl3JggxSmMI4Re4SW-nOPFzA,3.4652522,-76.5311265,5.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
58,Club Discoteca al Faraon,CLOSED_TEMPORARILY,"Cra. 5 #14-09, Cali, Valle del Cauca, Colombia",ChIJaYVqFmamMI4RcT3Nyu14RnI,3.4526229,-76.5301357,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
59,ELIPTICA CLUB,OPERATIONAL,"Carrera 38 #9a7, Cali, Valle del Cauca, Colombia",ChIJUSA2ML6oMI4RIzg9R0DLaBQ,3.4997101,-76.526474,4.7,"['night_club', 'point_of_interest', 'establishment']",33,night+club
60,Zoológico de Cali,OPERATIONAL,"Cra. 2a Oe., Cali, Valle del Cauca, Colombia",ChIJ8fdiI9KlMI4RszoGxUrtBSw,3.4481076,-76.55683719999999,4.7,"['zoo', 'tourist_attraction', 'museum', 'point_of_interest', 'establishment']",20298,point+of+interes
61,Parque Simón Bolívar Cali,OPERATIONAL,"25, Cali, Valle del Cauca, Colombia",ChIJObVRY2WmMI4ReU6reuHrX4A,3.4550396,-76.5328995,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4945,point+of+interes
62,Cristo Rey,OPERATIONAL,"Cl. 10 #1029, Jamundí, Cali, Valle del Cauca, Colombia",ChIJwzeb2zCkMI4Rj-Nbtjk1Ljg,3.435922,-76.564865,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",15361,point+of+interes
63,Plaza de Caycedo Centro Cali,OPERATIONAL,"Cra. 5, Cali, Valle del Cauca, Colombia",ChIJF7iNxmWmMI4RQzkwUfnrtNE,3.451884,-76.53245009999999,4.3,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",14654,point+of+interes
64,Estatua Sebastián De Belalcázar,OPERATIONAL,"Cra. 2a #5 Oeste-2 a 5 Oeste-202,, Cali, Valle del Cauca, Colombia",ChIJAd3YMXmmMI4R4nP5ZrBes6U,3.4491749,-76.5452014,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",8970,point+of+interes
65,Museo La Tertulia,OPERATIONAL,"Oeste, Cra. 1 ##5-105, Cali, Valle del Cauca, Colombia",ChIJF06VcnmmMI4Razg9LryeTHo,3.4504513,-76.5447216,4.7,"['museum', 'movie_theater', 'tourist_attraction', 'point_of_interest', 'establishment']",4745,point+of+interes
66,The Farallones National Park,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJheuC0GWmMI4R5iQ5pW5VNr0,3.4516467,-76.5319854,0.0,"['park', 'point_of_interest', 'establishment']",0,point+of+interes
67,El Gato Del Río,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJpy-GKnqmMI4RYqdZ5O83vmw,3.451773,-76.5424527,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",11272,point+of+interes
68,Parque Artesanal Loma de La Cruz,OPERATIONAL,"Cl. 5 #16, Cali, Valle del Cauca, Colombia",ChIJL5aj5YemMI4Rfqc0hSouONo,3.4428864,-76.5372252,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",9359,point+of+interes
69,Jardín Botánico de Cali,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJN2mbBLalMI4RecK3yS4XW80,3.4496016,-76.5695679,4.3,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",261,point+of+interes
70,Parque CMB Del Sur Cali,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJIVWVhjSnMI4RDo8inCC5gK0,3.4111135,-76.51737539999999,0.0,"['park', 'point_of_interest', 'establishment']",0,point+of+interes
71,Parque Natural Bataclán,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJKy7QFwWmMI4RS5W5Rmrt6NE,3.4720926,-76.54159779999999,4.7,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",1833,point+of+interes
72,Parque Panamericano,OPERATIONAL,"Cl. 5, Cali, Valle del Cauca, Colombia",ChIJfewpeZumMI4RhD2KQ3eRuds,3.4316574,-76.54240720000001,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",2829,point+of+interes
73,Museo Caliwood,OPERATIONAL,"Avenida Belalcazar (Carrera 2 oeste) #5-A-55 oeste, Cali, Valle del Cauca, Colombia",ChIJ4yGt7XimMI4RNPJEKquXnZY,3.4505073,-76.5471654,4.8,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",541,point+of+interes
74,Puente Ortiz,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJZZJfZ2-mMI4RRroGn3bTgU4,3.4538599,-76.5327331,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",218,point+of+interes
75,Monumento a la Solidaridad,OPERATIONAL,"Por Avenida 3, Cl. 34 Nte. #4-44, Cali, Valle del Cauca, Colombia",ChIJLQjd7TymMI4RfPsldPceVUA,3.4713461,-76.5214246,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",1589,point+of+interes
76,Parque Paseo Bolívar,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJP1fIa2-mMI4R1IHi4RM-22E,3.454505,-76.5331439,4.6,"['park', 'point_of_interest', 'establishment']",13,point+of+interes
77,Pila De Crespo,OPERATIONAL,"Cl. 5 #122, Cali, Valle del Cauca, Colombia",ChIJbbycKGOmMI4RKPn4aONK3XY,3.446381,-76.5365982,4.8,"['tourist_attraction', 'point_of_interest', 'establishment']",16,point+of+interes
78,Museo Arqueológico La Merced,OPERATIONAL,"Cra. 4 #59, Cali, Valle del Cauca, Colombia",ChIJky4hzmSmMI4RHzyGaEXDERw,3.4501095,-76.5368465,4.6,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",456,point+of+interes
79,Edificio Coltabaco,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJEfQO9WWmMI4RETJI0MxSwMY,3.4534349,-76.5325636,4.5,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",209,point+of+interes
80,The British School Cali,CLOSED_TEMPORARILY,"Cl. 18 #142 - 225, Cali, Valle del Cauca, Colombia",ChIJsRkYo1qfMI4RnOfHTLIACfI,3.3170014,-76.53657369999999,4.0,"['school', 'point_of_interest', 'establishment']",20,school
81,Lingua Viva Spanish Institute,CLOSED_TEMPORARILY,"Cl. 1 ##4b-46, Cali, Valle del Cauca, Colombia",ChIJiVjVc3ymMI4RI48KswiStjc,3.4482387,-76.5412003,5.0,"['school', 'point_of_interest', 'establishment']",73,school
82,Holberton School Campus Cali,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJo96sDtihMI4RsMLs76doFdc,3.3276831,-76.5206051,5.0,"['school', 'point_of_interest', 'establishment']",1,school
83,Colegio Bolivar,OPERATIONAL,"Cl. 5 #122-21, Cali, Valle del Cauca, Colombia",ChIJFWCJefahMI4RpCSo_PRDhGs,3.3403656,-76.5465214,4.6,"['school', 'point_of_interest', 'establishment']",46,school
84,Colegio Británico British School,OPERATIONAL,"Cl. 18 #142255, Cali, Valle del Cauca, Colombia",ChIJYRZgmFmfMI4RfC0e_NaP-i4,3.322017,-76.53491799999999,2.8,"['school', 'point_of_interest', 'establishment']",4,school
85,Vernot School,OPERATIONAL,"a 43-114, Cra. 69 #43-2, Cali, Valle del Cauca, Colombia",ChIJO1FEDTqhMI4Rv8ICsywdaEw,3.39373,-76.51853249999999,0.0,"['school', 'point_of_interest', 'establishment']",0,school
86,vernot school,OPERATIONAL,"colegio billingüe vernot school km 3 casa 99, Cl. 11, Cali, Valle del Cauca, Colombia",ChIJqT_KNIajMI4RPGt6xvtsIQs,3.3638486,-76.5599347,5.0,"['point_of_interest', 'establishment']",1,school
87,FRENGLISH INTERNATIONAL SCHOOL,OPERATIONAL,"Cl. 9 #4129, Cali, Valle del Cauca, Colombia",ChIJNQiJY6OmMI4RdCW-91nnAxw,3.4192462,-76.5391058,0.0,"['school', 'point_of_interest', 'establishment']",0,school
88,Colegio Nuevo Cambridge,OPERATIONAL,"Cra. 125 ##12-20, Cali, Valle del Cauca, Colombia",ChIJl7A1_dWhMI4R1jepJfc_d2w,3.3374459,-76.5380345,4.3,"['school', 'point_of_interest', 'establishment']",8,school
89,Trinity School,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJ____vyukMI4RanIKCWgW3PM,3.440271,-76.55315809999999,2.0,"['school', 'point_of_interest', 'establishment']",1,school
90,Sede Colegio Los Angeles del Norte,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJ4_ejJxymMI4R2Rz0MK2aJRc,3.4798156,-76.5315945,0.0,"['school', 'point_of_interest', 'establishment']",0,school
91,Colegio Americano,OPERATIONAL,"Carrera 89, Cl. 4c ##35, Cali, Valle del Cauca, Colombia",ChIJRZ2o4WChMI4RkU6lMrfIwmg,3.3784678,-76.54483929999999,4.5,"['primary_school', 'secondary_school', 'school', 'point_of_interest', 'establishment']",82,school
92,Colegio Colombo Británico,OPERATIONAL,"Cl. 10a #125-71, Cali, Valle del Cauca, Colombia",ChIJa6jNBvqhMI4RWmwMS0ZV3YY,3.3350758,-76.5423204,4.4,"['school', 'point_of_interest', 'establishment']",27,school
