,0,1,2,3,4,5,6,7,8,9
0,Hospital Departamental Mario Correa Rengifo,OPERATIONAL,"Cra. 78 #No. 2A - 00, Cali, Valle del Cauca, Colombia",ChIJs7MUW-CjMI4Ra5WiTMf-UVA,3.3873479,-76.55003280000001,3.3,"['hospital', 'health', 'point_of_interest', 'establishment']",83,hospital
1,Hospital de San Juan De Dios,OPERATIONAL,"Cra. 4 ###17-67, Cali, Valle del Cauca, Colombia",ChIJAx4BQ2imMI4R2pJtCOBgaqE,3.4548876,-76.5277843,3.2,"['hospital', 'health', 'point_of_interest', 'establishment']",116,hospital
2,Hospital Universitario Fundación Valle Del Lili,OPERATIONAL,"Autopista Simón Bolívar, Cali, Valle del Cauca, Colombia",ChIJrd2WNg2hMI4RMlfs7_zRf2Q,3.3728404,-76.5260999,4.7,"['hospital', 'health', 'point_of_interest', 'establishment']",54,hospital
3,Hospital Basico Cañaveralejo,OPERATIONAL,"Cl. 3 Oe. ##12a20, Cali, Valle del Cauca, Colombia",ChIJz3lRdX6mMI4RhKuyyNqheag,3.4450698,-76.5432755,4.1,"['hospital', 'health', 'point_of_interest', 'establishment']",40,hospital
4,Departamental Hospital,OPERATIONAL,"Parqueadero Hospital Universitario Del Valle, Cali, Valle del Cauca, Colombia",ChIJZVwKPpymMI4RGUsshecmspY,3.4300082,-76.54456499999999,3.5,"['hospital', 'health', 'point_of_interest', 'establishment']",6,hospital
5,H.U.V,OPERATIONAL,"Cl. 5 ##36 - 08, Cali, Valle del Cauca, Colombia",ChIJi54WD5umMI4R_akLadttvWw,3.4306772,-76.5448574,3.6,"['hospital', 'health', 'point_of_interest', 'establishment']",203,hospital
6,Clínica de Occidente Urgencias,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJSVCedWumMI4RXLG_LzxP7Zs,3.460919,-76.530226,3.6,"['hospital', 'health', 'point_of_interest', 'establishment']",14,hospital
7,Hospital Universitario Fundación Valle del Lili,OPERATIONAL,"Cra. 98 ## 18-49, Cali, Valle del Cauca, Colombia",ChIJRa00MHOhMI4R5wrq8sDs444,3.3730412,-76.52663179999999,4.3,"['hospital', 'health', 'point_of_interest', 'establishment']",293,hospital
8,Hospital Departamental Universitario Evaristo García,OPERATIONAL,"Cl. 5, Cali, Valle del Cauca, Colombia",ChIJafOvZZymMI4ReX16XQsRUus,3.4310365,-76.54498269999999,3.1,"['hospital', 'health', 'point_of_interest', 'establishment']",15,hospital
9,Hospital Cañaveralejo,OPERATIONAL,"Cra. 44 ##9c-178, Cali, Valle del Cauca, Colombia",ChIJwQAPRKWmMI4R7eWwFoG0Dqc,3.4159902,-76.5376922,2.6,"['hospital', 'health', 'point_of_interest', 'establishment']",8,hospital
10,Hospital Psiquiátrico Universitario Del Valle,OPERATIONAL,"#8000, Cl. 5, Cali, Valle del Cauca, Colombia",ChIJc6_SVV6hMI4R-tKh805A-P4,3.3875027,-76.5456396,3.7,"['hospital', 'health', 'point_of_interest', 'establishment']",50,hospital
11,Hospital Isaías Duarte Cancino E.S.E.,OPERATIONAL,"Mojica II, Cra 28E3, Cali, Valle del Cauca, Colombia",ChIJqzGd0TCnMI4RBIKwDASnois,3.4113051,-76.4848228,3.2,"['hospital', 'health', 'point_of_interest', 'establishment']",58,hospital
12,IMC HOSPITAL,OPERATIONAL,"jowhar,street macow, Cali, Valle del Cauca, Colombia",ChIJheuC0GWmMI4RnMyL5LcbCzw,3.4516467,-76.5319854,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
13,hospital universitario,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJrTcqoeGpMI4R6GhsIzLsWf4,3.4912823,-76.50691069999999,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
14,Clinica ortopedica,OPERATIONAL,"Santa Mónica Residencial, Cali, Valle del Cauca, Colombia",ChIJ-6jeKu6nMI4RSMm2TntVGa8,3.4694811,-76.53254299999999,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
15,Hospital Carlos Carmona Montoya,OPERATIONAL,"Cl. 39, Cali, Valle del Cauca, Colombia",ChIJjx9gGs6mMI4RjYm0mKt5t8U,3.4097101,-76.51472700000001,3.2,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",46,hospital
16,La Clínica CDC - MED,OPERATIONAL,"Cl. 5b 3 ##38-44, Cali, Valle del Cauca, Colombia",ChIJBQbOIp-mMI4Rku7EesGexd4,3.4261677,-76.54429929999999,3.6,"['hospital', 'health', 'point_of_interest', 'establishment']",31,hospital
17,CLÍNICA NUESTRA SEÑORA DE LOS REMEDIOS,OPERATIONAL,"Ent. Clínica Ntra, Cl. 10 ##33-51, Cali, Valle del Cauca, Colombia",ChIJiwlhC3OnMI4RuQkV7K_DZL4,3.4627173,-76.5224513,3.7,"['hospital', 'health', 'point_of_interest', 'establishment']",3,hospital
18,Hospital Carlos Holmes Trujillo,OPERATIONAL,"Cl. 72u ##28e-00, Cali, Valle del Cauca, Colombia",ChIJKelRhyOnMI4R5o2PUeGfW4w,3.4186836,-76.49401759999999,3.8,"['hospital', 'health', 'point_of_interest', 'establishment']",77,hospital
19,Hospital Primitivo Iglesias,OPERATIONAL,"Carrera 16a # 33d - 20, Cra. 16a, Cali, Valle del Cauca, Colombia",ChIJ0XCMJVamMI4R-nFrkX8L4Zk,3.4432041,-76.5101268,3.6,"['hospital', 'health', 'point_of_interest', 'establishment']",74,hospital
20,Discoteca Salsa Night Club,OPERATIONAL,"Av. Roosevelt #24-67, Cali, Valle del Cauca, Colombia",ChIJswdemIWmMI4RRlduics-C54,3.436437,-76.53866699999999,4.3,"['night_club', 'point_of_interest', 'establishment']",64,night+club
21,Escoces Nightclub,OPERATIONAL,"Cra. 1 #1 Oeste-2 a 1 Oeste-110, Cali, Valle del Cauca, Colombia",ChIJSYMjs3umMI4R724iLFtDvKY,3.4511082,-76.5410887,2.7,"['night_club', 'point_of_interest', 'establishment']",9,night+club
22,LOS ANGELES NIGHT CLUB,CLOSED_TEMPORARILY,"Cl. 27 ##44-22, Cali, Valle del Cauca, Colombia",ChIJVdGMwwanMI4ROtJ_BXrlYq4,3.4108026,-76.51826729999999,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
23,DUBAI NIGHT CLUB,OPERATIONAL,"Cra. 8 #94-330, Juanchito Guali, Cali, Valle del Cauca, Colombia",ChIJUb_yQpunMI4RloBSErPR08M,3.4483974,-76.4692402,4.4,"['night_club', 'point_of_interest', 'establishment']",393,night+club
24,La Topa Tolondra,OPERATIONAL,"Cl. 5 ##13-27, Cali, Valle del Cauca, Colombia",ChIJH8stsGKmMI4RugOt1OSJs8o,3.4442853,-76.5365133,4.7,"['night_club', 'point_of_interest', 'establishment']",6223,night+club
25,Caleñas Club VIP MENGA,OPERATIONAL,"Cl. 10 ##3884, Cali, Yumbo, Valle del Cauca, Colombia",ChIJ-2mS1qamMI4RkCrpUDEXZX8,3.4953787,-76.5229031,4.3,"['night_club', 'point_of_interest', 'establishment']",36,night+club
26,Pasarela Night Club,OPERATIONAL,"Cl. 7 ##24a-66, Cali, Valle del Cauca, Colombia",ChIJv0qjX4WmMI4RQq8f_S8Vpc4,3.4354548,-76.53733679999999,4.1,"['night_club', 'bar', 'point_of_interest', 'establishment']",33,night+club
27,FARAON NIGHT CLUB CALI,CLOSED_TEMPORARILY,"Av. 2 Nte., Cali, Valle del Cauca, Colombia",ChIJb-oNI0CmMI4RZms0jqnIW7M,3.4617948,-76.52511899999999,2.3,"['night_club', 'point_of_interest', 'establishment']",3,night+club
28,NASA NIGHT CLUB,CLOSED_TEMPORARILY,"Cl. 7 ##31-34, Cali, Valle del Cauca, Colombia",ChIJbY6r9ZmmMI4Rx9nW2Q2nr9o,3.4288529,-76.5385068,3.9,"['night_club', 'point_of_interest', 'establishment']",7,night+club
29,Mansión Caleñas Club,OPERATIONAL,"Av. 2d Nte. ##24-113, Cali, Valle del Cauca, Colombia",ChIJOaRhlyanMI4RObvSEhHUGaY,3.4640514,-76.5232096,5.0,"['night_club', 'point_of_interest', 'establishment']",3,night+club
30,Living Club,OPERATIONAL,"Cra. 40 #11-81, Cali, Arroyo Hondo, Yumbo, Valle del Cauca, Colombia",ChIJYXUrtJCoMI4RDwD5zqUpzMY,3.493875,-76.519577,4.5,"['night_club', 'point_of_interest', 'establishment']",3828,night+club
31,Queens,OPERATIONAL,"Antigua Vía a, Cl. 10 ##36-110, Cali, Yumbo, Valle del Cauca, Colombia",ChIJacbPuW2mMI4RSx_XfCbKypI,3.4995284,-76.52133119999999,3.8,"['night_club', 'point_of_interest', 'establishment']",63,night+club
32,Caleñas Club,OPERATIONAL,"Cl. 10 ##46-45, Cali, Valle del Cauca, Colombia",ChIJMcoM_a-mMI4Rm2ttoB82xcQ,3.4135773,-76.5372465,4.1,"['night_club', 'point_of_interest', 'establishment']",47,night+club
33,Londres Disco Club,OPERATIONAL,"Dg. 23 ## 17A - 34, Cali, Valle del Cauca, Colombia",ChIJcVXikDunMI4Rt05BbwNI0nE,3.4326029,-76.5259596,4.6,"['night_club', 'point_of_interest', 'establishment']",19,night+club
34,A Otro Nivel Disco Club,OPERATIONAL,"Av. Roosevelt ##37-29, Cali, Valle del Cauca, Colombia",ChIJAdJOZ_ynMI4ROg2GWRY25SA,3.4245217,-76.54055079999999,5.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
35,Son Caribe Club Discoteca,OPERATIONAL,"Cra. 23b #7-80, Cali, Valle del Cauca, Colombia",ChIJgY1Udo-mMI4RwsS2SZNa8jM,3.4364794,-76.5363507,4.5,"['night_club', 'point_of_interest', 'establishment']",302,night+club
36,Caras Lindas,CLOSED_TEMPORARILY,"Sanˈtjaɰo Ð̞e ˈkali, Cali, Valle del Cauca, Colombia",ChIJl3JggxSmMI4Re4SW-nOPFzA,3.4652522,-76.5311265,5.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
37,Club Discoteca al Faraon,CLOSED_TEMPORARILY,"Cra. 5 #14-09, Cali, Valle del Cauca, Colombia",ChIJaYVqFmamMI4RcT3Nyu14RnI,3.4526229,-76.5301357,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
38,ELIPTICA CLUB,OPERATIONAL,"Carrera 38 #9a7, Cali, Valle del Cauca, Colombia",ChIJUSA2ML6oMI4RIzg9R0DLaBQ,3.4997101,-76.526474,4.7,"['night_club', 'point_of_interest', 'establishment']",33,night+club
39,Santa Disco Club,CLOSED_TEMPORARILY,"Cra. 8 #3138, Cali, Valle del Cauca, Colombia",ChIJccYDWkWmMI4RfOZRRnfTAlE,3.4536704,-76.5145199,4.2,"['night_club', 'point_of_interest', 'establishment']",40,night+club
40,Zoológico de Cali,OPERATIONAL,"Cra. 2a Oe., Cali, Valle del Cauca, Colombia",ChIJ8fdiI9KlMI4RszoGxUrtBSw,3.4481076,-76.55683719999999,4.7,"['zoo', 'tourist_attraction', 'museum', 'point_of_interest', 'establishment']",20276,point+of+interes
41,Parque Simón Bolívar Cali,OPERATIONAL,"25, Cali, Valle del Cauca, Colombia",ChIJObVRY2WmMI4ReU6reuHrX4A,3.4550396,-76.5328995,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4925,point+of+interes
42,Cristo Rey,OPERATIONAL,"Cl. 10 #1029, Jamundí, Cali, Valle del Cauca, Colombia",ChIJwzeb2zCkMI4Rj-Nbtjk1Ljg,3.435922,-76.564865,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",15342,point+of+interes
43,Plaza de Caycedo Centro Cali,OPERATIONAL,"Cra. 5, Cali, Valle del Cauca, Colombia",ChIJF7iNxmWmMI4RQzkwUfnrtNE,3.451884,-76.53245009999999,4.3,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",14640,point+of+interes
44,Estatua Sebastián De Belalcázar,OPERATIONAL,"Cra. 2a #5 Oeste-2 a 5 Oeste-202,, Cali, Valle del Cauca, Colombia",ChIJAd3YMXmmMI4R4nP5ZrBes6U,3.4491749,-76.5452014,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",8959,point+of+interes
45,Museo La Tertulia,OPERATIONAL,"Oeste, Cra. 1 ##5-105, Cali, Valle del Cauca, Colombia",ChIJF06VcnmmMI4Razg9LryeTHo,3.4504513,-76.5447216,4.7,"['museum', 'movie_theater', 'tourist_attraction', 'point_of_interest', 'establishment']",4738,point+of+interes
46,The Farallones National Park,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJheuC0GWmMI4R5iQ5pW5VNr0,3.4516467,-76.5319854,0.0,"['park', 'point_of_interest', 'establishment']",0,point+of+interes
47,El Gato Del Río,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJpy-GKnqmMI4RYqdZ5O83vmw,3.451773,-76.5424527,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",11264,point+of+interes
48,Parque Artesanal Loma de La Cruz,OPERATIONAL,"Cl. 5 #16, Cali, Valle del Cauca, Colombia",ChIJL5aj5YemMI4Rfqc0hSouONo,3.4428864,-76.5372252,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",9343,point+of+interes
49,Jardín Botánico de Cali,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJN2mbBLalMI4RecK3yS4XW80,3.4496016,-76.5695679,4.3,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",261,point+of+interes
50,Plazoleta Jairo Varela,OPERATIONAL,"Av. 2 Nte. #10 Norte-1 a 10 Norte-75,, Cali, Valle del Cauca, Colombia",ChIJ9aEVoW-mMI4RjJsFs6yo8Bw,3.4549914,-76.53463049999999,4.6,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",8084,point+of+interes
51,Parque Natural Bataclán,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJKy7QFwWmMI4RS5W5Rmrt6NE,3.4720926,-76.54159779999999,4.7,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",1833,point+of+interes
52,Parque Panamericano,OPERATIONAL,"Cl. 5, Cali, Valle del Cauca, Colombia",ChIJfewpeZumMI4RhD2KQ3eRuds,3.4316574,-76.54240720000001,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",2822,point+of+interes
53,Museo Caliwood,OPERATIONAL,"Avenida Belalcazar (Carrera 2 oeste) #5-A-55 oeste, Cali, Valle del Cauca, Colombia",ChIJ4yGt7XimMI4RNPJEKquXnZY,3.4505073,-76.5471654,4.8,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",541,point+of+interes
54,Puente Ortiz,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJZZJfZ2-mMI4RRroGn3bTgU4,3.4538599,-76.5327331,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",218,point+of+interes
55,Monumento a la Solidaridad,OPERATIONAL,"Por Avenida 3, Cl. 34 Nte. #4-44, Cali, Valle del Cauca, Colombia",ChIJLQjd7TymMI4RfPsldPceVUA,3.4713461,-76.5214246,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",1587,point+of+interes
56,Parque Paseo Bolívar,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJP1fIa2-mMI4R1IHi4RM-22E,3.454505,-76.5331439,4.6,"['park', 'point_of_interest', 'establishment']",13,point+of+interes
57,Pila De Crespo,OPERATIONAL,"Cl. 5 #122, Cali, Valle del Cauca, Colombia",ChIJbbycKGOmMI4RKPn4aONK3XY,3.446381,-76.5365982,4.8,"['tourist_attraction', 'point_of_interest', 'establishment']",16,point+of+interes
58,Museo Arqueológico La Merced,OPERATIONAL,"Cra. 4 #59, Cali, Valle del Cauca, Colombia",ChIJky4hzmSmMI4RHzyGaEXDERw,3.4501095,-76.5368465,4.6,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",456,point+of+interes
59,Edificio Coltabaco,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJEfQO9WWmMI4RETJI0MxSwMY,3.4534349,-76.5325636,4.5,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",209,point+of+interes
60,The British School Cali,CLOSED_TEMPORARILY,"Cl. 18 #142 - 225, Cali, Valle del Cauca, Colombia",ChIJsRkYo1qfMI4RnOfHTLIACfI,3.3170014,-76.53657369999999,4.0,"['school', 'point_of_interest', 'establishment']",20,school
61,Lingua Viva Spanish Institute,CLOSED_TEMPORARILY,"Cl. 1 ##4b-46, Cali, Valle del Cauca, Colombia",ChIJiVjVc3ymMI4RI48KswiStjc,3.4482387,-76.5412003,5.0,"['school', 'point_of_interest', 'establishment']",73,school
62,Holberton School Campus Cali,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJo96sDtihMI4RsMLs76doFdc,3.3276831,-76.5206051,5.0,"['school', 'point_of_interest', 'establishment']",1,school
63,Colegio Bolivar,OPERATIONAL,"Cl. 5 #122-21, Cali, Valle del Cauca, Colombia",ChIJFWCJefahMI4RpCSo_PRDhGs,3.3403656,-76.5465214,4.6,"['school', 'point_of_interest', 'establishment']",46,school
64,Colegio Británico British School,OPERATIONAL,"Cl. 18 #142255, Cali, Valle del Cauca, Colombia",ChIJYRZgmFmfMI4RfC0e_NaP-i4,3.322017,-76.53491799999999,2.8,"['school', 'point_of_interest', 'establishment']",4,school
65,Vernot School,OPERATIONAL,"a 43-114, Cra. 69 #43-2, Cali, Valle del Cauca, Colombia",ChIJO1FEDTqhMI4Rv8ICsywdaEw,3.39373,-76.51853249999999,0.0,"['school', 'point_of_interest', 'establishment']",0,school
66,vernot school,OPERATIONAL,"colegio billingüe vernot school km 3 casa 99, Cl. 11, Cali, Valle del Cauca, Colombia",ChIJqT_KNIajMI4RPGt6xvtsIQs,3.3638486,-76.5599347,5.0,"['point_of_interest', 'establishment']",1,school
67,Colegio Nuevo Cambridge,OPERATIONAL,"Cra. 125 ##12-20, Cali, Valle del Cauca, Colombia",ChIJl7A1_dWhMI4R1jepJfc_d2w,3.3374459,-76.5380345,4.3,"['school', 'point_of_interest', 'establishment']",8,school
68,FRENGLISH INTERNATIONAL SCHOOL,OPERATIONAL,"Cl. 9 #4129, Cali, Valle del Cauca, Colombia",ChIJNQiJY6OmMI4RdCW-91nnAxw,3.4192462,-76.5391058,0.0,"['school', 'point_of_interest', 'establishment']",0,school
