,ciudad,codproyecto,direccion,latitud,longitud,geometry
216,Bogota,C90123,"Vía Siberia Km. 9,5",4.783698, -74.189846,POINT (4.783698 -74.189846)
241,Bogota,C90148,Cr. 1A # 11-130 Chía,4.856550, -74.049038,POINT (4.85655 -74.049038)
249,Bogota,C90156,Cr. 116 # 23-31,4.689472, -74.148386,POINT (4.689472 -74.148386)
293,Bogota,C90200,Km 19 Vía Bogotá Mosquera,4.714264, -74.242264,POINT (4.714264 -74.24226400000001)
294,Bogota,C90201,Km 19 Vía Bogotá Mosquera,4.714264, -74.242264,POINT (4.714264 -74.24226400000001)
377,Bogota,C90286,Vía Funza Siberia,4.747641, -74.163211,POINT (4.747641 -74.163211)
416,Bogota,C90326,Km 19 Vía Bogotá Mosquera,4.714264, -74.242264,POINT (4.714264 -74.24226400000001)
460,Bogota,C90370,Mosquera,4.723736, -74.240857,POINT (4.723736 -74.24085700000001)
506,Bogota,C90422,Km. 3.3 vía Siberia-Funza,4.737684, -74.179565,POINT (4.737684 -74.179565)
507,Bogota,C90423,Km. 3.3 vía Siberia-Funza,4.737684, -74.179565,POINT (4.737684 -74.179565)
517,Bogota,C90434,Km. 1 Variante Madrid vía Mosquera,4.719598, -74.238371,POINT (4.719598 -74.238371)
519,Bogota,C90436,100 mts adelante del peaje La Tebaida,4.750661, -74.180103,POINT (4.750661 -74.180103)
537,Bogota,C90455,Calle 12B # 71D-61,4.645248, -74.129734,POINT (4.645248 -74.129734)
553,Bogota,C90473,Cra 36 # 8-442 Zipaquirá,5.029288, -73.980929,POINT (5.029288 -73.980929)
554,Bogota,C90474,Cra 36 # 8-442 Zipaquirá,5.029288, -73.980929,POINT (5.029288 -73.980929)
584,Bogota,C90504,Vía Troncal de Occidente Calle 13,4.697509, -74.220013,POINT (4.697509 -74.22001299999999)
591,Bogota,C90511,Av. Suba con Ciudad de Cali,4.745867, -74.096194,POINT (4.745867 -74.096194)
597,Bogota,C90517,Cra. 27 # 21-75,4.618963, -74.086896,POINT (4.618963 -74.086896)
602,Bogota,C90522,"Vía Cota-Siberia, 1,5 kms antes del round point Siberia",4.774726, -74.143902,POINT (4.774726 -74.143902)
608,Bogota,C90528,Vìa Bogotà Siberia- Frente Spring,4.753137, -74.143978,POINT (4.753137 -74.143978)
611,Bogota,C90531,Entrada Jaime Duque Entrada Ind.Crown ,4.964482, -73.961153,POINT (4.964482 -73.961153)
615,Bogota,C90535,Av. Santa Fé Cl. 50 Sur,4.665867, -74.136400,POINT (4.665867 -74.13639999999999)
616,Bogota,C90536,Cl. 53 Sur # 79C-50,4.614762, -74.171741,POINT (4.614762 -74.171741)
628,Bogota,C90548,Cra. 68 con Cl. 95,4.686910, -74.076671,POINT (4.68691 -74.076671)
630,Bogota,C90550,Av. El Dorado con Ciudad de Cali # 51-66,4.680943, -74.117162,POINT (4.680943 -74.11716199999999)
636,Bogota,C90556,Av. Boyacá con Cl. 80,4.694831, -74.086126,POINT (4.694831 -74.08612599999999)
643,Bogota,C90563,Clle.78 # 11-43,4.662648, -74.055308,POINT (4.662648 -74.055308)
646,Bogota,C90566,Cr. 54 con 127,4.709304, -74.062520,POINT (4.709304 -74.06252000000001)
650,Bogota,C90570,Km. 2 Autop. Medellín Costado Sur,4.743241, -74.140184,POINT (4.743241 -74.140184)
655,Bogota,C90575,Ac.26 # 57-41,4.645230, -74.099075,POINT (4.64523 -74.099075)
656,Bogota,C90576,Ac.26 # 57-41,4.645230, -74.099075,POINT (4.64523 -74.099075)
657,Bogota,C90577,Vía Parque Jaime Duque,4.964482, -73.961153,POINT (4.964482 -73.961153)
660,Bogota,C90580,Cl.153 Entre Autop Norte y Av. Boyacá,4.739492, -74.057307,POINT (4.739492 -74.05730699999999)
661,Bogota,C90581,Cl.153 Entre Autop Norte y Av. Boyacá,4.739492, -74.057307,POINT (4.739492 -74.05730699999999)
668,Bogota,C90588,Cr. 7 # 156-80/78,4.731978, -74.023552,POINT (4.731978 -74.023552)
669,Bogota,C90589,Cl. 66 # 7-28,4.650128, -74.058899,POINT (4.650128 -74.058899)
670,Bogota,C90590,Calle 93 con 12,4.675300, -74.049183,POINT (4.6753 -74.049183)
672,Bogota,C90593,Vereda Canavita Tocancipa,4.940373, -73.944123,POINT (4.940373 -73.944123)
673,Bogota,C90594,Sobre Vía Round Point Siberia antes peaje,4.739590, -74.161321,POINT (4.73959 -74.161321)
675,Bogota,C90596,Av. 26 Al lado Puente áereo,4.689805, -74.130433,POINT (4.689805 -74.130433)
676,Bogota,C90597,Av. 26 Al lado Puente áereo,4.689805, -74.130433,POINT (4.689805 -74.130433)
677,Bogota,C90598,Av. El Dorado (Cl. 26) con Cra. 92,4.683150, -74.119621,POINT (4.68315 -74.119621)
678,Bogota,C90599,Cl. 93 # 17-45,4.677469, -74.053523,POINT (4.677469 -74.053523)
680,Bogota,C90601,Cr. 13 # 93A-21,4.677047, -74.049288,POINT (4.677047 -74.049288)
684,Bogota,C90607,Cl. 98 # 10-46,4.681182, -74.043752,POINT (4.681182 -74.043752)
687,Bogota,C90610,Autop. Chia-Cajicá Costado Occidental,4.884918, -74.036987,POINT (4.884918 -74.036987)
691,Bogota,C90614,Av. Cl. 24 # 95A-80,4.677193, -74.129488,POINT (4.677193 -74.12948799999999)
699,Bogota,C90629,Cr. 45A con 94,4.683209, -74.058821,POINT (4.683209 -74.05882099999999)
704,Bogota,C90641,Transv. 23 # 95-35,4.683627, -74.056706,POINT (4.683627 -74.05670600000001)
706,Bogota,C90643,Av. Suba con calle 103B,4.691055, -74.066202,POINT (4.691055 -74.066202)
707,Bogota,C90644,Diag. 24C # 96-25,4.680981, -74.128751,POINT (4.680981 -74.12875099999999)
709,Bogota,C90651,Cra. 70C # 96 - 95,4.694369, -74.078944,POINT (4.694369 -74.07894400000001)
714,Bogota,C90657,Km. 0 + 200 mts Vía Madrid Subachoque,4.742629, -74.256382,POINT (4.742629 -74.256382)
715,Bogota,C90658,Km.1 del Peaje de La Troncal de Occ.,4.700217, -74.191054,POINT (4.700217 -74.19105399999999)
721,Bogota,C90674,Vereda Portoachuelo Finca la Fagüita- vía Zipaquirá,4.996062, -74.001077,POINT (4.996062 -74.001077)
722,Bogota,C90675,Vereda Portoachuelo Finca la Fagüita- vía Zipaquirá,4.996062, -74.001077,POINT (4.996062 -74.001077)
723,Bogota,C90676,Vereda Portoachuelo Finca la Fagüita- vía Zipaquirá,4.996062, -74.001077,POINT (4.996062 -74.001077)
725,Bogota,C90678,Cl. 99 # 48-06,4.687013, -74.060534,POINT (4.687013 -74.060534)
727,Bogota,C90680,Cl. 106 # 56-39,4.694627, -74.063385,POINT (4.694627 -74.063385)
730,Bogota,C90683,Av. Cra. 7 # 127-87,4.703491, -74.028929,POINT (4.703491 -74.02892900000001)
731,Bogota,C90684,Av. Cra. 7 # 127-87,4.703491, -74.028929,POINT (4.703491 -74.02892900000001)
732,Bogota,C90685,Cl. 123 # 7A-51,4.698810, -74.030984,POINT (4.69881 -74.030984)
733,Bogota,C90686,Cl.93 # 19B-16,4.679175, -74.056220,POINT (4.679175 -74.05622)
734,Bogota,C90687,Autop. Norte 630 mts antes de la planta Bavaria Sentido Sur-Norte,4.944958, -73.953169,POINT (4.944958 -73.953169)
735,Bogota,C90688,Autop. Norte 630 mts antes de la planta Bavaria Sentido Sur-Norte,4.944958, -73.953169,POINT (4.944958 -73.953169)
736,Bogota,C90689,Autop. Norte 630 mts antes de la planta Bavaria Sentido Sur-Norte,4.944958, -73.953169,POINT (4.944958 -73.953169)
737,Bogota,C90690,Ciudad Verde,4.611943, -74.221017,POINT (4.611943 -74.221017)
740,Bogota,C90694,Cl. 26 Occidente 68 (lote Actual Xerox),4.660122, -74.106794,POINT (4.660122 -74.10679399999999)
744,Bogota,C90698,Entrada Parque Florida 700 mts ,4.732403, -74.151981,POINT (4.732403 -74.15198100000001)
745,Bogota,C90699,Cl. 100 - 101 entre Cras. 7 a 8B,4.680884, -74.038148,POINT (4.680884 -74.03814800000001)
746,Bogota,C90700,Cr. 7 # 23-85,4.610068, -74.070360,POINT (4.610068 -74.07035999999999)
747,Bogota,C90701,Cr. 7 # 23-85,4.610068, -74.070360,POINT (4.610068 -74.07035999999999)
751,Bogota,C90705,Cl 96 11B-13,4.679943, -74.046742,POINT (4.679943 -74.04674199999999)
752,Bogota,C90706,K.m 1.5 vía Chia-Cajicá Costado Oriental,4.884929, -74.035614,POINT (4.884929 -74.035614)
753,Bogota,C90707,Av. 19 Cl. 95-12,4.683210, -74.052279,POINT (4.68321 -74.052279)
754,Bogota,C90708,Cra. 106 # 15A-25,4.675155, -74.155018,POINT (4.675155 -74.155018)
756,Bogota,C90710,Av. NQS con Cl. 102,4.686198, -74.046571,POINT (4.686198 -74.046571)
759,Bogota,C90715,Cl. 116 # 21-24,4.699314, -74.052970,POINT (4.699314 -74.05297)
762,Bogota,C90718,K.m. 2 Vía Chia-Cajicá -Farmatodo,4.877807, -74.037230,POINT (4.877807 -74.03722999999999)
763,Bogota,C90719,K.m. 2 Vía Chia-Cajicá -Farmatodo,4.877807, -74.037230,POINT (4.877807 -74.03722999999999)
764,Bogota,C90720,Cra. 13A # 98-75,4.683292, -74.047076,POINT (4.683292 -74.047076)
765,Bogota,C90721,Cra. 7 # 120-20,4.696808, -74.031159,POINT (4.696808 -74.031159)
766,Bogota,C90722,Cra. 7 # 120-20,4.696808, -74.031159,POINT (4.696808 -74.031159)
770,Bogota,C90726,Diag. 24C # 96-25,4.680981, -74.128751,POINT (4.680981 -74.12875099999999)
772,Bogota,C90729,Cl. 106 # 54-14,4.694861, -74.063681,POINT (4.694861 -74.063681)
773,Bogota,C90730,Av. Suba con Av. C. de Cali,4.745867, -74.096194,POINT (4.745867 -74.096194)
774,Bogota,C90740,Cra. 47 A # 95-54,4.684766, -74.060165,POINT (4.684766 -74.060165)
775,Bogota,C90741,Cra. 7 con Cll. 117 Costado Oriental,4.694882, -74.032313,POINT (4.694882 -74.032313)
776,Bogota,C90742,Cl. 96 Cra. 11,4.680142, -74.044422,POINT (4.680142 -74.044422)
777,Bogota,C90743,Cl. 96 Cra. 11,4.680142, -74.044422,POINT (4.680142 -74.044422)
778,Bogota,C90744,Cra. 7A # 123-27,4.699510, -74.030931,POINT (4.69951 -74.030931)
781,Bogota,C90747,Km. 2 Autop. Medellín Costado Sur,4.743154, -74.140332,POINT (4.743154 -74.140332)
782,Bogota,C90748,Km. 2 Autop. Medellín Costado Sur,4.743154, -74.140332,POINT (4.743154 -74.140332)
783,Bogota,C90749,Av. Cl. 82 # 9-65,4.665563, -74.051287,POINT (4.665563 -74.051287)
784,Bogota,C90750,Km.1 del Peaje de La Troncal de Occ.,4.701919, -74.190925,POINT (4.701919 -74.19092499999999)
785,Bogota,C90751,Cra. 62 y 65 entre Calle 12 y 13,4.631762, -74.116450,POINT (4.631762 -74.11645)
786,Bogota,C90752,Cl. 100 con Cra. 21,4.686126, -74.055241,POINT (4.686126 -74.055241)
787,Bogota,C90753,Vereda Canavita Municipio Tocancipá,4.938563, -73.937937,POINT (4.938563 -73.93793700000001)
788,Bogota,C90754,Av. El Dorado con Cra. 92,4.684850, -74.118777,POINT (4.68485 -74.11877699999999)
789,Bogota,C90755,Av. El Dorado con Cra. 92,4.683916, -74.120647,POINT (4.683916 -74.12064700000001)
790,Bogota,C90756,Av. El Dorado con Cra. 92,4.682763, -74.120176,POINT (4.682763 -74.120176)
791,Bogota,C90757,Av. El Dorado con Cra. 92,4.685472, -74.119697,POINT (4.685472 -74.119697)
792,Bogota,C90758,Av. El Dorado con Cra. 92,4.683900, -74.118538,POINT (4.6839 -74.118538)
793,Bogota,C90759,Vía Cajicá-Zipaquirá,4.972293, -74.004259,POINT (4.972293 -74.004259)
794,Bogota,C90760,Cl. 98A # 51-64,4.686723, -74.062146,POINT (4.686723 -74.062146)
797,Bogota,C90763,Cl. 140 Cra. 12 Costado Sur,4.720424, -74.039127,POINT (4.720424 -74.03912699999999)
799,Bogota,C90765,Cra. 96 # 25g-40,4.682877, -74.123987,POINT (4.682877 -74.123987)
800,Bogota,C90766,Cl. 126 # 7-25,4.700794, -74.029328,POINT (4.700794 -74.02932800000001)
801,Bogota,C90767,Av. Cl. 26 #96J-03,4.685692, -74.126916,POINT (4.685692 -74.12691599999999)
802,Bogota,C90768,Autop. Medellín- Km. 5 Vereda Jacalito,4.793209, -74.182523,POINT (4.793209 -74.182523)
804,Bogota,C90770,Vía Sibería-Funza,4.769793, -74.171240,POINT (4.769793 -74.17124)
805,Bogota,C90771,Cr. 16 # 93-78/84,4.677825, -74.052270,POINT (4.677825 -74.05226999999999)
806,Bogota,C90772,Paralela Autopista Norte con calle 116 Costado Oriental,4.699030, -74.054709,POINT (4.69903 -74.054709)
808,Bogota,C90774,Cra. 96 # 25g-40,4.682877, -74.123987,POINT (4.682877 -74.123987)
809,Bogota,C90775,Av. Cl. 26 #96J-03,4.685692, -74.126916,POINT (4.685692 -74.12691599999999)
810,Bogota,C90776,Entre la Av. De las Américas y Calle 13 con Cr. 56,4.629083, -74.111604,POINT (4.629083 -74.111604)
811,Bogota,C90777,Entre la Av. De las Américas y Calle 13 con Cr. 56,4.630110, -74.110736,POINT (4.63011 -74.110736)
812,Bogota,C90778,Entre la Av. De las Américas y Calle 13 con Cr. 56,4.630110, -74.110736,POINT (4.63011 -74.110736)
813,Bogota,C90779,Entre la Av. De las Américas y Calle 13 con Cr. 56,4.628666, -74.112118,POINT (4.628666 -74.112118)
814,Bogota,C90780,Entre la Av. De las Américas y Calle 13 con Cr. 56,4.628666, -74.112118,POINT (4.628666 -74.112118)
815,Bogota,C90781,Entre la Av. De las Américas y Calle 13 con Cr. 56,4.629083, -74.111604,POINT (4.629083 -74.111604)
816,Bogota,C90782,Km. 3 Vía Chia - Cajicá,4.901545, -74.030324,POINT (4.901545 -74.03032399999999)
817,Bogota,C90783,Km. 3 Vía Chia - Cajicá,4.901545, -74.030324,POINT (4.901545 -74.03032399999999)
818,Bogota,C90784,Km. 3 Vía Chia - Cajicá,4.901545, -74.030324,POINT (4.901545 -74.03032399999999)
819,Bogota,C90785,Cl. 85 # 12-70,4.669066, -74.053244,POINT (4.669066 -74.05324400000001)
820,Bogota,C90787,Av. Cra. 45 # 114-50,4.698409, -74.054785,POINT (4.698409 -74.054785)
821,Bogota,C90788,Av. Cra. 45 # 114-50,4.698409, -74.054785,POINT (4.698409 -74.054785)
825,Bogota,C90792,Av. Cl. 127  # 20 - 30,4.706447, -74.050885,POINT (4.706447 -74.05088499999999)
827,Bogota,C90794,Cl 28 # 13A-24,4.617030, -74.071203,POINT (4.61703 -74.071203)
829,Bogota,C90796,Km. 15 Vía Chia-Cajicá,4.906696, -74.028792,POINT (4.906696 -74.028792)
831,Bogota,C90798,Km 28 Vía Cajicá 50 mts antes de San Jeronimo,4.908893, -74.028515,POINT (4.908893 -74.028515)
832,Bogota,C90799,Cr. 13 Cl. 54-55,4.641963, -74.065158,POINT (4.641963 -74.065158)
833,Bogota,C90800,Cr. 13 Cl. 54-55,4.641963, -74.065158,POINT (4.641963 -74.065158)
834,Bogota,C90801,Cr. 9 Cl. 127C-56,4.708011, -74.032570,POINT (4.708011 -74.03257000000001)
835,Bogota,C90802,Cr. 18a # 127-53 ,4.704566, -74.046970,POINT (4.704566 -74.04697)
836,Bogota,C90803,Km. 29 Vía Chia-Cajicá,4.890938, -74.034438,POINT (4.890938 -74.03443799999999)
840,Bogota,C90807,Cr. 11B # 96-36,4.682157, -74.045187,POINT (4.682157 -74.045187)
843,Bogota,C90810,Cl 134 # 55-30,4.723523, -74.061823,POINT (4.723523 -74.061823)
844,Bogota,C90811,Cr 7 bis # 126 - 84,4.682763, -74.120176,POINT (4.682763 -74.120176)
845,Bogota,C90812,Cl 99 # 14-49,4.683622, -74.048282,POINT (4.683622 -74.048282)
846,Bogota,C90813,Cl 99 # 14-49,4.683622, -74.048282,POINT (4.683622 -74.048282)
847,Bogota,C90814,Cr 7 # 33 - 91,4.621277, -74.067373,POINT (4.621277 -74.067373)
849,Bogota,C90816,Cr 11a # 93 - 35,4.675330, -74.048313,POINT (4.67533 -74.04831299999999)
850,Bogota,C90817,Cr 58d # 145- 51,4.733084, -74.066715,POINT (4.733084 -74.066715)
851,Bogota,C90818,Eje Chia Cajicá vereda Canelon,4.892290, -74.035372,POINT (4.89229 -74.035372)
852,Bogota,C90819,Eje Chia Cajicá vereda Canelon,4.892290, -74.035372,POINT (4.89229 -74.035372)
854,Bogota,C90821,Cl. 86b # 49d - 34,4.677576, -74.066195,POINT (4.677576 -74.06619499999999)
855,Bogota,C90822,Cl. 86b # 49d - 34,4.677576, -74.066195,POINT (4.677576 -74.06619499999999)
856,Bogota,C90823,Cr. 85d # 46a - 65 ,4.678838, -74.115806,POINT (4.678838 -74.11580600000001)
857,Bogota,C90824,Cl. 63 # 83 -34,4.684504, -74.114497,POINT (4.684504 -74.114497)
858,Bogota,C90825,Cl. 63 # 83 -34,4.684504, -74.114497,POINT (4.684504 -74.114497)
859,Bogota,C90826,Cl. 93 # 17-18,4.677703, -74.053468,POINT (4.677703 -74.053468)
860,Bogota,C90827,Cr. 7 # 156-80/78,4.731390, -74.023570,POINT (4.73139 -74.02357000000001)
861,Bogota,C90828,Via Siberia Funza Km 1,4.755090, -74.162317,POINT (4.75509 -74.162317)
862,Bogota,C90829,Cl. 100 - 101 entre Cras. 7 a 8B,4.680884, -74.038148,POINT (4.680884 -74.03814800000001)
864,Bogota,C90831,Km 6.3 Via Bogotá Siberia,4.765117, -74.165474,POINT (4.765117 -74.165474)
865,Bogota,C90832,Km 7.5 Autopista Medellin,4.770204, -74.176156,POINT (4.770204 -74.17615600000001)
866,Bogota,C90833,Km 7.5 Autopista Medellin,4.770204, -74.176156,POINT (4.770204 -74.17615600000001)
867,Bogota,C90834,Av. 19 # 125- 57,4.704915, -74.049125,POINT (4.704915 -74.049125)
869,Bogota,C90836,Cl. 93 # 19B - 67,4.679168, -74.056856,POINT (4.679168 -74.056856)
870,Bogota,C90837,Cl. 100 # 13 -95,4.683885, -74.047171,POINT (4.683885 -74.04717100000001)
871,Bogota,C90838,Cl. 27 # 13a -58,4.616572, -74.071732,POINT (4.616572 -74.071732)
872,Bogota,C90839,Cl. 27 # 13a -58,4.616572, -74.071732,POINT (4.616572 -74.071732)
874,Bogota,C90841,Km 20 Via a Madrid,4.726092, -74.255201,POINT (4.726092 -74.255201)
875,Bogota,C90842,Cr 14 # 127-45,4.704270, -74.041719,POINT (4.70427 -74.041719)
877,Bogota,C90844,Autosur Frente est. San Mateo,4.587799, -74.205832,POINT (4.587799 -74.205832)
878,Bogota,C90845,Km.1 del Peaje de La Troncal de Occ.,4.702585, -74.190824,POINT (4.702585 -74.19082400000001)
879,Bogota,C90846,Cl.13 con Av Boyacá Costado Occidental,4.651497, -74.127216,POINT (4.651497 -74.127216)
881,Bogota,C90848,Cl. 126 # 7a-52,4.688973, -74.041700,POINT (4.688973 -74.04170000000001)
882,Bogota,C90849,Km 1.5 Viá Bogotá Siberia ,4.737763, -74.134242,POINT (4.737763 -74.134242)
883,Bogota,C90850,Km 1.2 Via Siberia Funza Costado Oriental,4.742007, -74.174848,POINT (4.742007 -74.174848)
884,Bogota,C90851,Km 2.3 via Cerrito Frente al Parque la Florida,4.731078, -74.155596,POINT (4.731078 -74.155596)
885,Bogota,C90852,Km 7 Autopista Medellin Bogotá Siberia,4.766863, -74.167968,POINT (4.766863 -74.167968)
886,Bogota,C90853,Av. 68 # 75a -50,4.680205, -74.082644,POINT (4.680205 -74.082644)
887,Bogota,C90854,Av Terreros con Tranv 6. Soacha,4.588046, -74.196137,POINT (4.588046 -74.19613699999999)
888,Bogota,C90855,Cr 15 # 93a -62,4.678394, -74.050927,POINT (4.678394 -74.050927)
889,Bogota,C90856,Cl. 90 # 17-31,4.675143, -74.054747,POINT (4.675143 -74.05474700000001)
890,Bogota,C90857,Av. 9 # 106-35,4.688973, -74.041700,POINT (4.688973 -74.04170000000001)
891,Bogota,C90858,Cl. 79a # 18-57,4.667146, -74.059596,POINT (4.667146 -74.059596)
892,Bogota,C90859,Cr. 18 # 80-32,4.667444, -74.058498,POINT (4.667444 -74.058498)
893,Bogota,C90860,Autop. Norte Cr 45 # 118 -82,4.701980, -74.054135,POINT (4.70198 -74.054135)
894,Bogota,C90861,Km 7.5 Autopista Medellin,4.771175, -74.176011,POINT (4.771175 -74.176011)
