,ciudad,codproyecto,direccion,latitud,longitud
178,Bogota,C90063,Cl. 94A # 11A-73,4.678715,-74.04782399999999
179,Bogota,C90075,Av. NQS Cl. 101,4.670652599999999,-74.0705937
180,Bogota,C90076,Av. 19 # 103-41,4.6758565,-74.14511809999999
182,Bogota,C90078,Cl. 12C # 79A-26,4.6008222,-74.0738743
184,Bogota,C90081,Cl. 97A # 9A-50,4.6804162,-74.0433692
185,Bogota,C90082,Tr. Suba Cr. 101,4.7435192,-74.0924249
186,Bogota,C90083,Av. Esp. # 62-49,4.6359451,-74.0629115
187,Bogota,C90084,Cr. 7 # 32-35 Soacha,4.588161599999999,-74.2035191
188,Bogota,C90085,Aut. Norte Cl. 97,4.6848857,-74.0572127
192,Bogota,C90089,Cl. 123 # 8A-17/21,4.7004652,-74.0345683
193,Bogota,C90090,Tr. 93 Av. El Dorado,4.6850501,-74.1244799
195,Bogota,C90093,Cl. 114 # 9-02,4.6909736,-74.027568
196,Bogota,C90099,Cl. Av. 100 # 13-76,4.6844692,-74.046413
197,Bogota,C90100,Aut. Norte Cl. 103-03,4.6908405,-74.05707629999999
199,Bogota,C90102,Cl. 100 # 13-21,4.6835631,-74.0462608
205,Bogota,C90108,Cr. 14 # 96-35,4.6814484,-74.04881069999999
208,Bogota,C90111,Cl. 22 Cr. 114B,4.6877119,-74.14737749999999
209,Bogota,C90112,Cl. 20 # 82-52,4.6637321,-74.13048859999999
210,Bogota,C90117,Cr. 34 # 180A-05,4.6063531,-74.1052157
211,Bogota,C90118,Cl. 15B # 116-21,4.6970512,-74.0443186
215,Bogota,C90122,Av. Cl. 80 # 66A-48,4.6948038,-74.088342
217,Bogota,C90124,Av. 82 # 10-33,4.6652176,-74.05234639999999
218,Bogota,C90125,Cl. 98 # 9A-46,4.6807932,-74.0428184
219,Bogota,C90126,Cl. 99 # 9A-31,4.6809651,-74.04246069999999
220,Bogota,C90127,Cl. 127 # 19A-14/20,4.7056151,-74.0497753
221,Bogota,C90128,Cl. 116 # 7-15,4.6935736,-74.03414339999999
223,Bogota,C90130,Cl. 99 # 10-08/20,4.6816745,-74.04303689999999
228,Bogota,C90135,Cr. 13A # 30-21,4.67395,-74.05144109999999
230,Bogota,C90137,Cr. 7 # 127-48,4.703228999999999,-74.02791309999999
231,Bogota,C90138,Cr. 11B # 98-20,4.6817395,-74.0453371
232,Bogota,C90139,Cr. 11A # 97A-19,4.6813797,-74.04520409999999
233,Bogota,C90140,Cr. 14 # 85-36,4.6699312,-74.0541282
234,Bogota,C90141,Cr. 11B # 96-79,4.6806953,-74.0462232
235,Bogota,C90142,Cl. 13 # 65-71,4.635420499999999,-74.1162909
236,Bogota,C90143,Cr. 15 # 80-05,4.666458899999999,-74.05709499999999
237,Bogota,C90144,Cr. 7 # 32-70,4.69131,-74.03351789999999
238,Bogota,C90145,Cl. 152 Cr. 114H,4.7579351,-74.103781
239,Bogota,C90146,Cl. 100 # 22-10,4.687195399999999,-74.0552398
240,Bogota,C90147,Cl. 95 # 15-09,4.680878,-74.05012289999999
242,Bogota,C90149,Cl. 82 Cr. 13,4.6669146,-74.05491359999999
243,Bogota,C90150,Cl. 110 # 9-25,4.6906291,-74.0389206
245,Bogota,C90152,Cr. 14 # 94-34/44,4.6793098,-74.0493149
246,Bogota,C90153,Frente Portal Usme,4.5312575,-74.119209
248,Bogota,C90155,Cr. 116 # 23-31,4.689437300000001,-74.1471227
250,Bogota,C90157,Cl. 98 # 10-07,4.6807197,-74.0434075
251,Bogota,C90158,Vía Funza a Siberia,,
253,Bogota,C90160,"Vía Siberia Bogotá 3,5 Km",,
